id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45153878,Magnolia Hotel - King Room,342206187,Magnolia Hotel,,Central Business District,29.95177,-90.06915,Private room,191,1,118,2024-02-18,2.75,12,181,8,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48378871,"Luxury Mansion w/ 11 beds, Walk to Bourbon in FQtr",101652405,Russell,,Treme - Lafitte,29.96761,-90.06985,Entire home/apt,1304,1,36,2023-06-15,1.01,16,194,1,"23rstr-12345, 23ostr-12345"
45154909,Magnolia Hotel - Double Queen,342206187,Magnolia Hotel,,Central Business District,29.94998,-90.0674,Private room,208,1,105,2023-04-22,2.46,12,191,2,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48394954,Historic Home 2 blocks from Canal Streetcar,20732873,Whitley,,Mid-City,29.97149,-90.10056,Entire home/apt,124,3,251,2024-03-01,7.14,1,0,82,"21-RSTR-03037, 22-OSTR-07191"
48397809,Okra Inn Carrollton: Blue Master,2707644,Lindsay,,Mid-City,29.96961,-90.10507,Private room,,30,39,2023-05-12,1.07,14,0,5,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48401435,Historic Creole Cottage Apt. Near French Quarter,1905482,Steven,,Treme - Lafitte,29.97109,-90.07166,Entire home/apt,214,2,21,2024-02-18,0.84,2,34,7,"20-RSTR-33338, 21-OSTR-05715"
45162487,Comfy Marigny Home - Walk to FQ and Frenchman,52807584,Richard,,Marigny,29.96203,-90.0532,Entire home/apt,136,2,77,2024-02-25,2.08,2,0,28,"22-RSTR-10356, 22-OSTR-08861"
48404214,30 Day Vintaged  Loft  Bed In Hostel/Shared Home,49452897,Lisa,,Leonidas,29.95636,-90.13012,Shared room,35,30,1,2021-05-06,0.03,24,365,0,
45174941,Amazing Central Location - Sleeps 10,64823547,Brenna And Nick,,Bayou St. John,29.97092,-90.08742,Entire home/apt,264,1,211,2024-03-04,4.93,79,274,51,"20-cstr-31923, 19-OSTR-26434"
48419736,The Citrus Villa || Pet-Friendly,6380869,Brigitte,,Leonidas,29.94777,-90.13474,Entire home/apt,107,2,228,2024-03-06,6.29,2,203,62,"22-CSTR-15640, 22OSTR-10741"
45178867,Fairgrounds Pied A Terre 2,357670205,LaTanya,,Fairgrounds,29.98337,-90.07387,Entire home/apt,,30,5,2022-05-15,0.20,5,346,0,"19STR-19138, 19-OSTR-3223"
48428581,New Orleans Loft - 2 Minute Walk to French Quarter,454425442,Adam,,Central Business District,29.950762,-90.067352,Entire home/apt,154,2,171,2024-03-07,4.66,31,150,57,"21-CSTR-09896, 21-OSTR-17158"
45179006,Fairgrounds Pied A Terre 3,357670205,LaTanya,,Fairgrounds,29.9813,-90.07399,Entire home/apt,199,30,2,2022-04-10,0.08,5,345,0,"19STR-19138, 19-OSTR-3244"
45179180,Pied A Terre  Perfect For Large Groups,357670205,LaTanya,,Fairgrounds,29.98216,-90.0742,Entire home/apt,450,30,0,,,5,346,0,"19STR-19138, 19-OSTR-3221"
48429235,Balcony Suite in Downtown New Orleans - Walk to FQ,454425442,Adam,,Central Business District,29.95104,-90.06826,Entire home/apt,231,2,254,2024-03-08,6.92,31,147,79,"21-CSTR-09904, 21-OSTR-17158"
48429573,Penthouse Suite Downtown New Orleans - Walk to FQ!,454425442,Adam,,Central Business District,29.94974,-90.06626,Entire home/apt,173,2,169,2024-02-28,4.61,31,131,43,"21-CSTR-09921, 21-OSTR-17158"
48429806,Historic Charm Penthouse Studio - Downtown Nola,454425442,Adam,,Central Business District,29.95012,-90.06642,Entire home/apt,125,2,216,2024-03-09,5.87,31,127,73,"21-CSTR-09922, 21-OSTR-17158"
48429939,Penthouse Suite Downtown New Orleans - Walk to FQ!,454425442,Adam,,Central Business District,29.95124,-90.06855,Entire home/apt,179,2,229,2024-03-07,6.23,31,0,66,"21-CSTR-10251, 21-OSTR-17158"
45179316,Fairgrounds  Pied A Terre Family Vacation Rental,357670205,LaTanya,,Fairgrounds,29.98157,-90.07397,Entire home/apt,,30,0,,,5,346,0,"19STR-19138, 19-OSTR-3225"
45188252,Historic Marigny Cottage,31861652,Catherine,,Marigny,29.96417,-90.05966,Entire home/apt,120,30,10,2023-05-10,0.31,1,281,2,
48437768,View Carrie de Maison (1 block to French Quarter),252023114,Keith,,Treme - Lafitte,29.96546,-90.06578,Entire home/apt,1152,30,48,2024-02-13,1.36,2,0,21,"20STR-23819, 20OSTR-23819"
48440560,The Uptowner II,167418116,Yogi,,Milan,29.9349,-90.10041,Entire home/apt,500,30,26,2024-02-26,0.76,4,337,5,"20STR-23419, 20OSTR-23419"
48441172,Okra Inn Carrollton: Black & White Master,2707644,Lindsay,,Mid-City,29.97147,-90.10472,Private room,,30,58,2023-05-12,1.58,14,1,8,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48954701,"Saints, Food’s, Tours, and MORE!",348852847,Marc,,Gentilly Terrace,30.0004,-90.05383,Entire home/apt,76,2,54,2023-07-31,1.59,1,65,16,"21STR-06317, 21-OSTR-06317"
48447319,New Orleans Loft - 2 Minute Walk to French Quarter,454425442,Adam,,Central Business District,29.95124,-90.06845,Entire home/apt,151,2,198,2024-03-07,5.39,31,0,67,"21-CSTR-09910, 21-OSTR-17158"
48447490,New Orleans Suite  - 2 Min Walk to French Quarter,454425442,Adam,,Central Business District,29.95051,-90.06618,Entire home/apt,189,2,255,2024-03-07,6.94,31,151,81,"21-CSTR-09912, 21-OSTR-17158"
48450274,An Amazing Find in Central Location!,331831738,Jeff,,Mid-City,29.96391,-90.09558,Entire home/apt,206,2,160,2024-02-25,4.48,2,264,51,"22-CSTR-14909, 22-OSTR-08383"
48451914,Maison de Camp - Historic Home in Heart of Uptown,123771707,Christine,,Uptown,29.92267,-90.10866,Entire home/apt,200,30,2,2022-12-31,0.09,1,279,0,
48475765,A Block From the French Quarter! Spacious Villa,266065811,Leavetown,,Central Business District,29.95213,-90.06999,Entire home/apt,240,1,0,,,5,327,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48475781,Comfortable Villa for 4 in the Business District!,266065811,Leavetown,,Central Business District,29.95377,-90.07166,Entire home/apt,174,1,0,,,5,288,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48475782,Steps from the French Quarter | 2 Bedroom Villa,266065811,Leavetown,,Central Business District,29.9524,-90.07011,Entire home/apt,307,1,11,2024-03-03,0.49,5,217,8,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48475827,2 Bedroom Villa with Air-Conditioning,266065811,Leavetown,,Central Business District,29.95385,-90.07198,Entire home/apt,256,1,3,2023-05-03,0.13,5,190,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48955171,"Upscale, Safe Lakefront Neighborhood Studio Apt.",375636740,Eric,,Lakeshore - Lake Vista,30.02222,-90.09382,Private room,39,31,6,2023-03-26,0.18,3,38,1,
48486280,Maison Marais II,8118306,Eric,,Treme - Lafitte,29.96475,-90.06718,Entire home/apt,188,30,74,2024-03-10,2.16,13,315,18,"21STR-56789, 21OSTR-56789"
48963138,Beautiful new home in historic Algiers Point!,23503432,Luke,,U.S. Naval Base,29.95145,-90.03791,Entire home/apt,750,3,4,2022-07-03,0.13,1,86,0,"21RSTR-08108, 21OSTR-07939"
48505402,Stylish Design Hostel - Private Queen Room,126584980,The Quisby,,Central City,29.94021,-90.07542,Private room,148,1,76,2024-03-05,2.10,7,77,54,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48511813,Garden District Inn,364804502,Jarone,,Irish Channel,29.92072,-90.08375,Private room,225,365,0,,,1,365,0,
48522665,"FQrtr|Marigny on Burgundy, Balcony 30-Day Min",4951914,Thom,,Bywater,29.96759,-90.04987,Entire home/apt,189,30,9,2024-03-03,0.45,5,124,6,
48974887,Quaint one bedroom blocks from the fairgrounds,108164372,Thomas,,City Park,29.97906,-90.09159,Entire home/apt,99,3,39,2024-03-03,1.14,3,216,10,"22-RSTR-14126, 22-OSTR-14122"
48564923,Fabulous Franklin Studio Steps From St Claude Ave,64823547,Brenna And Nick,,St. Roch,29.97151,-90.04977,Entire home/apt,101,1,195,2024-03-08,5.36,79,272,47,"22-CSTR-18339, 22-OSTR-14846"
48982227,Luxurious  Historic Renovated Home,66925019,Bianka,,Central City,29.93881,-90.08452,Entire home/apt,260,3,21,2023-04-14,0.59,14,77,1,"22-RSTR-01462, 22-OSTR-70364"
49002892,New 2BDRM House 5 Minutes from French Quarter,258333694,Randi,,St. Roch,29.98075,-90.05339,Entire home/apt,73,30,5,2023-09-23,0.17,1,325,1,
48566154,Fabulous Franklin 2BD steps from St Claude Ave,64823547,Brenna And Nick,,St. Roch,29.9715,-90.0498,Entire home/apt,120,1,127,2024-02-27,3.49,79,0,21,"22-CSTR-18334, 22-OSTR-14846"
48588962,Panoramic Balcony with views of French Quarter & F,391944923,Frenchmen,,Marigny,29.96161,-90.05691,Entire home/apt,454,3,122,2024-03-11,3.39,5,212,41,"19STR-19250, 20-OSTR-20476"
48589169,"Nola Bungalow, Bonus Mini theater & Outdoor area",167921411,Rochelle,,Mid-City,29.96816,-90.10099,Entire home/apt,238,3,98,2024-03-03,2.69,32,324,25,"22CSTR-00574, 19OSTR-26238"
48590279,Beautiful Historic Algiers Point 1B Close to Ferry,26332235,Wendy,,Mcdonogh,29.94631,-90.0524,Entire home/apt,,2,0,,,1,0,0,"21-RSTR-03036, 21-OSTR-06424"
48699459,Contemporary Marigny Apt on Frenchmen St.,391944923,Frenchmen,,Marigny,29.96345,-90.05666,Entire home/apt,128,3,123,2024-03-09,3.42,5,0,35,"19STR-19249, 20-OSTR-20476"
48699460,Modern Marigny Apt with Balcony & views of The Fre,391944923,Frenchmen,,Marigny,29.96173,-90.05739,Entire home/apt,174,3,165,2024-03-03,4.59,5,150,48,"19STR-19247, 20-OSTR-20476"
48699461,Stylish Marigny Apt on Frenchmen St.,391944923,Frenchmen,,Marigny,29.9636,-90.05718,Entire home/apt,126,3,143,2024-03-10,3.98,5,164,38,"19STR-19245, 20-OSTR-20476"
49030792,"Clean, Safe and close to French Quarter",13827666,James,,St. Roch,29.97275,-90.05153,Private room,65,2,32,2024-02-18,1.93,4,128,28,"20-RSTR-33510, 20-OSTR-33509"
48699462,Trendy Marigny Apt with Balcony on Frenchmen,391944923,Frenchmen,,Marigny,29.96257,-90.05657,Entire home/apt,179,3,152,2024-02-25,4.23,5,160,44,"19STR-19244, 20-OSTR-20476"
49032072,Historic Basement Studio - Short Ceilings 7 min FQ,454425442,Adam,,Mid-City,29.96953,-90.10399,Entire home/apt,,2,84,2023-06-04,2.56,31,0,6,"20-CSTR-21148, 21-OSTR-17158"
49057184,Natural Historic New Orleans Home 7 Mins to FQ,454425442,Adam,,Mid-City,29.97045135498047,-90.10554504394531,Entire home/apt,96,2,87,2024-03-08,2.45,31,289,37,"22-CSTR-21045, 22-OSTR-21149"
48712075,Cute 1bed steps from French Q and Jazz venues,26642486,Jose,,Seventh Ward,29.967927932739258,-90.06234741210938,Entire home/apt,114,2,104,2024-02-20,2.88,17,148,34,"20STR-02666, 20OSTR-22542"
49063744,One-Bedroom Condo Near French Quarter,11097868,Vacatia,,Marigny,29.96272,-90.05813,Private room,,30,16,2023-02-22,0.45,3,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48719427,Clean Cozy Fresh Lux House Near Downtown!,311877208,Sam,,Mid-City,29.96463,-90.09595,Entire home/apt,207,1,4,2024-02-25,1.32,2,276,4,"19STR-25398, 20-OSTR-19980"
48742539,"Bywater Home, Parking and Pet Friendly Retreat",393219039,RedAwning,,Bywater,29.9625,-90.044601,Entire home/apt,113,1,43,2024-02-26,1.22,1,280,16,"19STR-23484, 21-OSTR-04164"
48759038,Downtown City Skyline View Safari Corner  Suite,101889685,Staycation,,Central Business District,29.95306,-90.07125,Entire home/apt,301,2,199,2024-03-01,5.57,2,37,53,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
49063883,Two-Bedroom Near French Quarter,11097868,Vacatia,,Marigny,29.96137,-90.05624,Private room,,30,16,2023-03-14,0.45,3,0,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
49064089,Two-Bedroom Condo Near French Quarter,11097868,Vacatia,,Marigny,29.96272,-90.05672,Private room,,30,4,2023-07-31,0.19,3,0,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48787937,Boho Basement in the LGD (30 Night Minimum),20628188,Hilary,,Lower Garden District,29.93546,-90.07259,Entire home/apt,,30,8,2023-02-28,0.23,2,0,0,
48789945,Monthly Man Cave Bunkbed/No Fees,49452897,Lisa,,Leonidas,29.95543,-90.13029,Shared room,35,30,0,,,24,365,0,
49078582,Bayou St. John Jewel Box + Private Parking,58611531,Jeremy,,Bayou St. John,29.97652,-90.08427,Entire home/apt,161,30,70,2023-05-19,2.08,1,81,14,"22-RSTR-16925, 22-OSTR-16771"
